Peak Irr,Energy
0.00032697,9.81429E+29
2.06447E-06,2.51E+27
0.000504052,1.15E+29
5.03271E-06,3.9E+27
9.044E-06,5.68E+27
8.81199E-06,1.16E+28
1.91179E-05,6.32E+29
2.48165E-06,1.15E+28
6.05402E-06,2.5E+27
1.2637E-05,1.47143E+28
1.32122E-05,3.68571E+28
4.36689E-05,2.49E+29
0.000221778,7.35714E+29
5.78942E-06,2.53E+27
1.9034E-05,1.35E+27
3.66543E-05,1.23429E+29
8.28324E-06,9.9E+27
1.49127E-05,3.44286E+28
2.48932E-06,9.65714E+27
5.33661E-05,3.74286E+29
0.000114139,2.98571E+29
6.16729E-06,1.76E+28
9.02721E-06,1.17E+28
4.92628E-05,1.72E+29
0.000317308,2.35714E+29
4.05922E-06,2.44286E+26
0.000103701,1.41857E+30
2.20739E-06,5.17143E+27
9.6343E-05,2.82857E+29
3.68086E-05,9.72E+28
0.000126006,1.08143E+30
0.000712959,2.78571E+30
2.51307E-06,3.38571E+27
6.59334E-06,3.12857E+28
1.02091E-05,1.9E+28
1.16578E-05,2.54286E+28
2.23354E-05,1.7E+28
2.62418E-05,1.31714E+29
4.02765E-05,1.65714E+29
4.29098E-05,1.17571E+29
0.000144983,2.6E+29
0.000257315,1.95714E+30
0.000287091,7.48571E+29
0.000463925,1.65714E+30
4.80201E-06,2.25714E+28
5.92297E-06,2.68571E+28
1.48662E-05,2.14286E+28
0.00029885,6.45714E+29
1.44745E-06,6.67E+27
2.16403E-06,6.56E+28
2.28128E-06,1.85E+28
3.76931E-06,1.07E+28
5.02635E-06,1.17E+28
5.6589E-06,6.87E+28
6.75512E-06,3.36E+28
6.91314E-06,1.72E+28
7.03597E-06,1.76E+28
7.13584E-06,1.19E+29
8.12375E-06,3.25E+28
9.36836E-06,2.97E+28
0.0000231,4.5E+28
3.12989E-05,6.3E+28
3.67195E-05,3.42E+29
4.01455E-05,8.36E+28
5.6676E-05,2.06E+29
6.58557E-05,9.47E+28
7.14317E-05,8.56E+28
9.36013E-05,3.16E+29
9.40644E-05,3.89E+29
4.89514E-06,9.75E+27
2.53167E-05,6.52E+28
6.20794E-05,2.33E+29
0.000328225,8.42E+28
3.27143E-06,6E+27
5.61221E-06,3.12857E+28
1.43588E-05,9.5E+27
1.46791E-05,6.49E+28
2.00117E-05,4.84286E+28
2.49187E-05,1.26571E+29
2.57968E-05,5.43E+28
3.32173E-05,2.25714E+28
