Time [ISO8601],Flare Class,Peak Flux [W/m2]
"2011-01-14T00:06:00Z","B3.1",3.10204e-07
"2011-01-14T02:19:00Z","B3.0",3.09400e-07
"2011-01-14T03:26:00Z","C2.3",2.35396e-06
"2011-01-14T13:07:00Z","C1.4",1.44745e-06
"2011-01-14T15:51:00Z","B2.9",2.95539e-07
"2011-01-14T17:09:00Z","B3.0",3.02418e-07
"2011-01-14T18:24:00Z","B2.3",2.37269e-07
"2011-01-15T00:07:00Z","B3.2",3.22229e-07
"2011-01-15T00:14:00Z","B3.7",3.70117e-07
"2011-01-15T03:59:00Z","B2.1",2.12436e-07
"2011-01-15T04:18:00Z","B1.7",1.77136e-07
"2011-01-15T05:40:00Z","B2.1",2.17108e-07
"2011-01-15T06:01:00Z","B3.1",3.18889e-07
"2011-01-15T06:16:00Z","B3.6",3.60643e-07
"2011-01-15T06:41:00Z","B5.7",5.77698e-07
"2011-01-15T08:06:00Z","B4.1",4.10738e-07
"2011-01-15T09:24:00Z","B2.2",2.21910e-07
"2011-01-15T09:39:00Z","B5.1",5.11705e-07
"2011-01-15T09:52:00Z","B3.1",3.10678e-07
"2011-01-15T10:28:00Z","B3.9",3.91011e-07
"2011-01-15T12:25:00Z","B2.9",2.93418e-07
"2011-01-15T13:35:00Z","B3.1",3.13495e-07
"2011-01-15T14:19:00Z","C1.5",1.59186e-06
"2011-01-15T17:53:00Z","B2.1",2.10749e-07
"2011-01-15T18:09:00Z","B2.1",2.16978e-07
"2011-01-15T19:33:00Z","B2.0",2.00237e-07
"2011-01-15T19:43:00Z","B2.1",2.16459e-07
"2011-01-15T21:15:00Z","B3.6",3.66094e-07
"2011-01-15T21:39:00Z","B3.3",3.38711e-07
"2011-01-15T22:21:00Z","B2.0",2.04260e-07
"2011-01-15T22:38:00Z","B4.5",4.57328e-07
"2011-01-15T23:48:00Z","B8.0",8.08898e-07
"2011-01-16T02:51:00Z","B1.0",1.08698e-07
"2011-01-16T04:22:00Z","B1.2",1.24791e-07
"2011-01-16T10:48:00Z","B1.9",1.90329e-07
"2011-01-16T12:41:00Z","B1.9",1.98535e-07
"2011-01-16T15:44:00Z","B3.2",3.23871e-07
"2011-01-16T18:45:00Z","B2.1",2.10834e-07
"2011-01-16T20:46:00Z","B1.4",1.49968e-07
"2011-01-16T20:55:00Z","B1.3",1.36436e-07
"2011-01-17T03:17:00Z","B1.3",1.36426e-07
"2011-01-17T03:29:00Z","B1.3",1.39402e-07
"2011-01-17T04:18:00Z","B1.0",1.09561e-07
"2011-01-17T04:29:00Z","B1.0",1.03332e-07
"2011-01-17T04:46:00Z","B1.4",1.45173e-07
"2011-01-17T05:09:00Z","B1.9",1.98200e-07
"2011-01-17T05:33:00Z","B1.9",1.97988e-07
"2011-01-17T06:34:00Z","B5.7",5.72088e-07
"2011-01-17T08:53:00Z","B2.3",2.38431e-07
"2011-01-17T09:45:00Z","B1.9",1.99170e-07
"2011-01-17T10:08:00Z","B2.0",2.09491e-07
"2011-01-17T12:00:00Z","B4.7",4.73356e-07
"2011-01-17T12:55:00Z","B4.0",4.04678e-07
"2011-01-17T13:18:00Z","B3.6",3.63927e-07
"2011-01-17T15:17:00Z","B1.6",1.62511e-07
"2011-01-17T15:23:00Z","B2.0",2.04300e-07
"2011-01-17T17:20:00Z","B3.0",3.00483e-07
"2011-01-17T18:00:00Z","B1.5",1.56965e-07
