time (seconds since 2000-01-01 12:00:00),longwave (W/m^2)
5.225904E8,9.9874353e-07
5.2259046E8,8.9920349e-07
5.2259052E8,8.4470946e-07
5.2259058E8,8.2289375e-07
5.2259064E8,8.8038558e-07
5.225907E8,9.5987491e-07
5.2259076E8,9.5319132e-07
5.2259082E8,8.9193588e-07
5.2259088E8,8.1822168e-07
5.2259094E8,7.6329076e-07
5.22591E8,7.3178921e-07
5.2259106E8,7.1349046e-07
5.2259112E8,6.8613747e-07
5.2259118E8,6.6209816e-07
5.2259124E8,6.3653181e-07
5.225913E8,6.3696007e-07
5.2259136E8,6.3393622e-07
5.2259142E8,6.5418169e-07
5.2259148E8,6.7325914e-07
5.2259154E8,6.9140646e-07
5.225916E8,6.9194721e-07
5.2259166E8,6.8195425e-07
5.2259172E8,6.6167422e-07
5.2259178E8,6.4522698e-07
5.2259184E8,6.3302781e-07
5.225919E8,6.3871641e-07
5.2259196E8,6.5379237e-07
5.2259202E8,6.6417465e-07
5.2259208E8,6.8532853e-07
5.2259214E8,7.3983114e-07
5.225922E8,8.2120658e-07
5.2259226E8,8.5248320e-07
5.2259232E8,8.4621490e-07
5.2259238E8,8.3288666e-07
5.2259244E8,8.2029817e-07
5.225925E8,8.5173480e-07
5.2259256E8,8.8869143e-07
5.2259262E8,8.6857574e-07
5.2259268E8,8.3236756e-07
5.2259274E8,8.2927880e-07
5.225928E8,8.4184137e-07
5.2259286E8,8.6325480e-07
5.2259292E8,8.7695076e-07
5.2259298E8,8.8051536e-07
5.2259304E8,8.6727795e-07
5.225931E8,8.4703248e-07
5.2259316E8,8.2664434e-07
5.2259322E8,8.1627502e-07
5.2259328E8,8.3314620e-07
5.2259334E8,8.4546218e-07
5.225934E8,8.7363708e-07
5.2259346E8,9.9069734e-07
5.2259352E8,1.1179451e-06
5.2259358E8,1.2897069e-06
5.2259364E8,1.5740516e-06
5.225937E8,1.7075936e-06
5.2259376E8,1.6461003e-06
5.2259382E8,1.5157810e-06
5.2259388E8,1.3866514e-06
5.2259394E8,1.2778971e-06
5.22594E8,1.1888691e-06
5.2259406E8,1.0938712e-06
5.2259412E8,1.0174576e-06
5.2259418E8,9.6733720e-07
5.2259424E8,9.2230403e-07
5.225943E8,8.9102741e-07
5.2259436E8,8.6377827e-07
5.2259442E8,8.2600843e-07
5.2259448E8,8.0368648e-07
5.2259454E8,8.0469010e-07
5.225946E8,8.5131518e-07
5.2259466E8,1.3203346e-06
5.2259472E8,2.2538313e-06
5.2259478E8,2.7410499e-06
5.2259484E8,2.6296698e-06
5.225949E8,2.3130103e-06
5.2259496E8,1.9908439e-06
5.2259502E8,1.7038301e-06
5.2259508E8,1.4739924e-06
5.2259514E8,1.2937041e-06
5.225952E8,1.1564244e-06
5.2259526E8,1.0423491e-06
5.2259532E8,9.5098505e-07
5.2259538E8,8.8008710e-07
5.2259544E8,8.1848123e-07
5.225955E8,7.8525795e-07
5.2259556E8,7.4334383e-07
5.2259562E8,7.0985664e-07
5.2259568E8,6.7987781e-07
5.2259574E8,6.4774900e-07
5.225958E8,6.2679840e-07
5.2259586E8,6.0265961e-07
5.2259592E8,5.8786486e-07
5.2259598E8,5.7523744e-07
5.2259604E8,5.6346653e-07
5.225961E8,5.5373312e-07
5.2259616E8,5.5202872e-07
5.2259622E8,5.4672512e-07
5.2259628E8,5.4594642e-07
5.2259634E8,5.4575611e-07
5.225964E8,5.4244242e-07
5.2259646E8,5.4296152e-07
5.2259652E8,5.4542733e-07
5.2259658E8,5.4726149e-07
5.2259664E8,5.4983980e-07
5.225967E8,5.5243532e-07
5.2259676E8,5.5955587e-07
5.2259682E8,5.6346653e-07
5.2259688E8,5.5503091e-07
5.2259694E8,5.5970293e-07
5.22597E8,5.7047026e-07
5.2259706E8,5.7475728e-07
5.2259712E8,5.6619189e-07
5.2259718E8,5.6708302e-07
5.2259724E8,5.5736695e-07
5.225973E8,5.4218287e-07
5.2259736E8,5.3684897e-07
5.2259742E8,5.3543437e-07
5.2259748E8,5.3400680e-07
5.2259754E8,5.2829654e-07
5.225976E8,5.2292376e-07
5.2259766E8,5.2881569e-07
5.2259772E8,5.2985388e-07
5.2259778E8,5.3923253e-07
5.2259784E8,5.4270197e-07
5.225979E8,5.3660239e-07
5.2259796E8,5.3396354e-07
5.2259802E8,5.3309833e-07
5.2259808E8,5.3037303e-07
5.2259814E8,5.3270901e-07
5.225982E8,5.4663423e-07
5.2259826E8,5.5555000e-07
5.2259832E8,5.5645847e-07
5.2259838E8,5.5227963e-07
5.2259844E8,5.5126736e-07
5.225985E8,5.5749672e-07
5.2259856E8,5.7060436e-07
5.2259862E8,5.8289004e-07
5.2259868E8,5.8539911e-07
5.2259874E8,5.8578843e-07
5.225988E8,5.8765721e-07
5.2259886E8,5.8760531e-07
5.2259892E8,5.8059732e-07
5.2259898E8,5.7599016e-07
5.2259904E8,5.7683371e-07
5.225991E8,5.6697053e-07
5.2259916E8,5.5334380e-07
5.2259922E8,5.5478864e-07
5.2259928E8,5.4906110e-07
5.2259934E8,5.3465573e-07
5.225994E8,5.3496717e-07
5.2259946E8,5.2596056e-07
5.2259952E8,5.1648669e-07
5.2259958E8,5.0899848e-07
5.2259964E8,5.0260041e-07
5.225997E8,4.9753902e-07
5.2259976E8,4.9844749e-07
5.2259982E8,4.9206238e-07
5.2259988E8,4.9792840e-07
5.2259994E8,4.9546259e-07
5.226E8,4.8842429e-07
5.2260006E8,4.7988920e-07
5.2260012E8,4.8287410e-07
5.2260018E8,4.8277889e-07
5.2260024E8,4.7469803e-07
5.226003E8,4.6717088e-07
5.2260036E8,4.6288818e-07
5.2260042E8,4.6032289e-07
5.2260048E8,4.5419304e-07
5.2260054E8,4.5029969e-07
5.226006E8,4.4827945e-07
5.2260066E8,4.4744456e-07
5.2260072E8,4.4835301e-07
5.2260078E8,4.4731479e-07
5.2260084E8,4.4388864e-07
5.226009E8,4.4043651e-07
5.2260096E8,4.4277255e-07
5.2260102E8,4.4188138e-07
5.2260108E8,4.5380369e-07
5.2260114E8,4.6587309e-07
5.226012E8,4.7236634e-07
5.2260126E8,4.7560647e-07
5.2260132E8,4.7067491e-07
5.2260138E8,4.7210247e-07
5.2260144E8,4.7474995e-07
5.226015E8,4.7768293e-07
5.2260156E8,4.7547670e-07
5.2260162E8,4.8277889e-07
5.2260168E8,4.9948574e-07
5.2260174E8,4.9455411e-07
5.226018E8,4.8052078e-07
5.2260186E8,4.6756020e-07
5.2260192E8,4.5471214e-07
5.2260198E8,4.4290232e-07
5.2260204E8,4.3397787e-07
5.226021E8,4.2577156e-07
5.2260216E8,4.2291643e-07
5.2260222E8,4.1490910e-07
5.2260228E8,4.1006834e-07
5.2260234E8,4.0461765e-07
5.226024E8,4.0461765e-07
5.2260246E8,4.0813464e-07
5.2260252E8,4.0617499e-07
5.2260258E8,4.0928967e-07
5.2260264E8,4.0800919e-07
5.226027E8,4.1448081e-07
5.2260276E8,4.1538928e-07
5.2260282E8,4.1679090e-07
5.2260288E8,4.2421422e-07
5.2260294E8,4.3148182e-07
5.22603E8,4.3290936e-07
5.2260306E8,4.5543027e-07
5.2260312E8,4.8079761e-07
5.2260318E8,5.0428753e-07
5.2260324E8,5.2856910e-07
5.226033E8,5.2038007e-07
5.2260336E8,5.0818085e-07
5.2260342E8,5.0523488e-07
5.2260348E8,5.0467685e-07
5.2260354E8,5.0104308e-07
5.226036E8,4.9390525e-07
5.2260366E8,4.8227707e-07
5.2260372E8,4.7638514e-07
5.2260378E8,4.8404206e-07
5.2260384E8,4.9607689e-07
5.226039E8,4.9455411e-07
5.2260396E8,4.9455411e-07
5.2260402E8,5.1376139e-07
5.2260408E8,5.4011070e-07
5.2260414E8,5.9240710e-07
5.226042E8,6.6638086e-07
5.2260426E8,8.0745008e-07
5.2260432E8,9.0724973e-07
5.2260438E8,8.8752341e-07
5.2260444E8,8.0042474e-07
5.226045E8,7.2114739e-07
5.2260456E8,6.6404488e-07
5.2260462E8,6.3731051e-07
5.2260468E8,6.1136774e-07
5.2260474E8,5.8734577e-07
5.226048E8,5.8020794e-07
5.2260486E8,5.8326640e-07
5.2260492E8,5.9201778e-07
5.2260498E8,5.8163550e-07
5.2260504E8,5.7498653e-07
5.226051E8,5.7423813e-07
5.2260516E8,5.6359630e-07
5.2260522E8,5.4633574e-07
5.2260528E8,5.3070175e-07
5.2260534E8,5.1830364e-07
5.226054E8,5.0999779e-07
